,X_train_fname,Y_train_fname,acc,dropout,epochs,loss,model_id,val_acc,val_loss
0,../data/X_train.npy,../data/Y_train.npy,"[0.25533009164017206, 0.36188516925657399, 0.41481204413689921, 0.45497475219749395, 0.48587993267252666, 0.5159902749316635, 0.54787731438189635, 0.57714606323531126, 0.60870581634561438, 0.64643725454640066]",0.5,10,"[1.7521417175740288, 1.569857022752043, 1.4704677667130883, 1.3773079546719194, 1.2974723703463946, 1.2255709532467878, 1.1513239716243939, 1.0738622332056238, 0.99749944074947139, 0.90820861540488129]",1,"[0.34374415560127175, 0.42173181223115763, 0.47484570788472125, 0.48587993268367397, 0.49990648963149514, 0.52253600150173973, 0.5363755376902567, 0.53974191135773375, 0.5444174303459145, 0.55058911539738209]","[1.6153779232281267, 1.4678364281166552, 1.3422069686449463, 1.3051453581564401, 1.2534758133689377, 1.2265153975492997, 1.1999708022807321, 1.1962239718869709, 1.184910745515497, 1.2053723419093854]"
1,../data/X_train.npy,../data/Y_train.npy,"[0.25009351038243899, 0.2698709556816537, 0.34570787357396671, 0.39788666541986162, 0.44590424537123619, 0.47821208155219835, 0.51253039087338692, 0.53478586124174388, 0.56452216197112481, 0.59528707686553206]",0.5,10,"[1.7743441789244321, 1.7258700806113165, 1.5988676404426849, 1.4807285966885655, 1.3826171374887266, 1.3088291629310054, 1.2387935250233952, 1.1828327538567167, 1.1104142220639639, 1.046405537052201]",2,"[0.24293996633626333, 0.34168692724892463, 0.41462502338874224, 0.45371236207776366, 0.4899943893883682, 0.50308584253966793, 0.52889470732365895, 0.54254722275287159, 0.55171123995878146, 0.55713484197860574]","[1.7570392801446382, 1.5921612385167838, 1.4476496191900512, 1.3635537619454317, 1.3075274767910452, 1.2582950474548411, 1.214846505346489, 1.1728035293384336, 1.1632461843255169, 1.1541433701654316]"
2,../data/X_train.npy,../data/Y_train.npy,"[0.24569852254157515, 0.25205722836349442, 0.25238451468391643, 0.25252478025060782, 0.2524312698723491, 0.25252478026175512, 0.25252478025339464, 0.25252478025060782, 0.25252478025339464, 0.25261829064140728]",0.5,10,"[1.7823456832353526, 1.7624157860454319, 1.7621705164658772, 1.7617000285232984, 1.7620172822098654, 1.7617059961443462, 1.7612766453277648, 1.7614921802044896, 1.7610691138376851, 1.7614750611976038]",3,"[0.24293996633626333, 0.24293996633626333, 0.24293996633626333, 0.24293996633626333, 0.24293996633626333, 0.24293996633626333, 0.24293996633626333, 0.24293996633626333, 0.24293996633626333, 0.24293996633626333]","[1.7636500411063059, 1.7634333902504904, 1.7632254795736524, 1.76289972022513, 1.7631552444120557, 1.7630172118931948, 1.7631733979781097, 1.7635849463241846, 1.7630024316579755, 1.7632254822713005]"
3,../data/X_train_192.npy,../data/Y_train_192.npy,"[0.24214512810922012, 0.27435945390216965, 0.34865345053300917, 0.40223489809598079, 0.44235085095002846, 0.47073125116887976, 0.49822330278660931, 0.52463998506063392, 0.55362820273050306, 0.57709930804548515, 0.60159902750319894, 0.63432766038144839, 0.65779876567413587, 0.68809612869257697, 0.7044136899418757]",0.5,15,"[1.7782692791525172, 1.7039198137698539, 1.5848483931846611, 1.4914692480006306, 1.4098277816108973, 1.3387531086019384, 1.281388400981911, 1.220651401545102, 1.1563323708768423, 1.0939037772858724, 1.0321898235212603, 0.95914347260515997, 0.89875161435997819, 0.83022565310617147, 0.77567101289607532]",5,"[0.24293996633626333, 0.33345801385068352, 0.41574714794456791, 0.48120441369549322, 0.50289882177479006, 0.50084159342244294, 0.53787170376469096, 0.55189826071808579, 0.55545165514486716, 0.56237142323912559, 0.56966523285199266, 0.56480269310450759, 0.57901627081720675, 0.57677202170555542, 0.57770712550207681]","[1.7674520104895, 1.5986758211248941, 1.4526167121226929, 1.3525933730885407, 1.3132234108610779, 1.2851290354355041, 1.2201819738673789, 1.1791230383288511, 1.1819737334328988, 1.1588947361867095, 1.1426620975217574, 1.181350935256791, 1.2074484439326019, 1.1821655049064526, 1.1840136101117908]"
4,../data/X_train_192.npy,../data/Y_train_192.npy,"[0.22082476154853189, 0.24738170937252688, 0.27337759491442876, 0.30629324855058909, 0.32943706751449409, 0.35038339256214746, 0.36758930241256782, 0.39101365252657649, 0.41233401908726475, 0.45745277726384931, 0.49041518609680279, 0.51187581823811656, 0.53015709744896289, 0.53847952123242981, 0.55517112399476343]",0.5,15,"[1.8115211764250556, 1.7405055314330313, 1.6760926970772059, 1.6313468261770117, 1.5936949191549146, 1.5529894810068914, 1.50762907402391, 1.4599278463656509, 1.4062691221331711, 1.3459514229904497, 1.3018826372449099, 1.2574855354493504, 1.2074050218875729, 1.1682395844096578, 1.1204488419006089]",7,"[0.25416121190566759, 0.26089395922947445, 0.33027866093693703, 0.36936599963710581, 0.3740415186141392, 0.37759491304649423, 0.41462502337759494, 0.41743033477830643, 0.42397606134280907, 0.47839910231150262, 0.48270057976992747, 0.48849822331393389, 0.49298672153166306, 0.4791471853431461, 0.48363568357202258]","[1.7665490094180061, 1.6618345621837418, 1.6067677701279808, 1.5518943548247104, 1.5326498226292762, 1.5304377680295691, 1.4746707002091501, 1.4484275830489843, 1.4165113605426498, 1.4265473494914083, 1.409130161669581, 1.3925159811995866, 1.3908573144927345, 1.4141414769234915, 1.4103030045500242]"
5,../data/X_train_192.npy,../data/Y_train_192.npy,"[0.38255096316248405, 0.43056854310828502, 0.46661679448648014, 0.50626519544784077, 0.53918084907424724, 0.57153544043388815, 0.60300168318683378, 0.63110155227230225, 0.65751823452403213, 0.67748270059091165, 0.70389938283149434, 0.72133906864776598, 0.74209837294168868, 0.75201047317366831, 0.7640733121599419]",0.5,15,"[1.5618399610603237, 1.4683142118371935, 1.3897559875547496, 1.3008536899872354, 1.2135802808823666, 1.1309012479039249, 1.0601616482634801, 0.98126316561038096, 0.92151974001977743, 0.86038628671466688, 0.79717462709825326, 0.74855352583969559, 0.70189662175421985, 0.6717594536761603, 0.63725665543309906]",7,"[0.4408079296913418, 0.45932298485689216, 0.49279970077235874, 0.50308584253966793, 0.49747521975496584, 0.50963156911531782, 0.49953244810731295, 0.50981858986904849, 0.52403216757060034, 0.51337198429025621, 0.51692537872261124, 0.51561623340190765, 0.50102861418732081, 0.52047877314939262, 0.51449410884608193]","[1.442261938962264, 1.440422520005237, 1.3359924130112473, 1.2908611856756287, 1.294829247197147, 1.2717074380760129, 1.2806202140459952, 1.2767944116112626, 1.3283791504821221, 1.4257492170125186, 1.3690116264362167, 1.3776879906319939, 1.432045804689549, 1.3920544043687741, 1.5008626474227462]"
6,../data/X_train_192.npy,../data/Y_train_192.npy,"[0.76454086403590804, 0.77964279037202344, 0.783991023025848, 0.79698896579749567, 0.803815223512102, 0.80858425286321389, 0.81213764730114257, 0.82111464372545351, 0.82691228726388633, 0.83200860296607526, 0.83570226295118755, 0.83761922574520375, 0.84771834673648772, 0.84383766599207122, 0.84832616421537399]",0.5,15,"[0.64016810028892335, 0.60367020437912289, 0.58876337736638795, 0.55424432360347864, 0.53726188222871929, 0.51839323721133546, 0.50557543008778283, 0.48380703004873066, 0.467783319564407, 0.46161404308346204, 0.45283432746571156, 0.45240057636158965, 0.42781138792425, 0.42053138611694352, 0.41511708590523738]",6,"[0.52608939593409476, 0.52384514681129601, 0.52309706377965259, 0.53431830933790958, 0.52571535440433892, 0.50981858986347484, 0.52739854123807739, 0.53712362072190012, 0.51729942023564612, 0.52646343744712965, 0.51879558632122769, 0.50215073874314653, 0.51823452403774117, 0.51954366935287122, 0.52347110529826113]","[1.5584152135890021, 1.6384277500927014, 1.6771556355027097, 1.5991426896041234, 1.5312105184718785, 1.4411421876232804, 1.6441695512244028, 1.7295422196410539, 1.7190137291614511, 1.7488288186032104, 1.7825527038221072, 1.8913184392334079, 1.8559445329797766, 1.7593456987400957, 1.8656112754235696]"
7,../data/X_train_scaled_jaffe.npy,../data/Y_train_scaled_jaffe.npy,"[0.26972613567675641, 0.34686381178221043, 0.40758822709162618, 0.45096945180638864, 0.49202585204955607, 0.53698795740921557, 0.57669595945644681, 0.62640070674802628, 0.66229599665363847, 0.69223973590132526, 0.71581345608683711, 0.72911145208675321, 0.74789603384944436, 0.76058957548843642, 0.77058632073278466]",0.25,15,"[1.7285361142539188, 1.5888518123284827, 1.4565349109846717, 1.3493821396090004, 1.247090188502578, 1.1368862534187913, 1.0203468657805896, 0.9005244413435185, 0.80646783727900484, 0.72703128448117749, 0.66320955075440324, 0.6183114530440792, 0.57912627915937642, 0.55004981114851381, 0.52058018674221684]",8,"[0.31932304258880417, 0.42347033661893246, 0.46159568532639017, 0.48261112144318391, 0.49990701134461596, 0.51180955923377347, 0.49209596429235636, 0.50790403570764364, 0.50604426259996282, 0.51218151385530963, 0.50325460293844149, 0.4995350567230798, 0.50362655755997765, 0.5105077180583969, 0.51013576343686073]","[1.6448208282976893, 1.4588734474416247, 1.358096197544032, 1.3012287725363829, 1.2767278752363325, 1.2872867914564841, 1.3958705342877902, 1.4420902438161096, 1.4154730665654924, 1.6998738522021462, 1.6805577508707528, 1.7578328738142528, 2.1035513348000321, 2.3037572366853882, 2.2098496960556062]"
8,../data/X_train_scaled_jaffe.npy,../data/Y_train_scaled_jaffe.npy,"[0.24740782070953643, 0.25642813967545453, 0.31915190403263133, 0.4107034918877483, 0.46887060026967964, 0.51904031245779525, 0.56195657228156437, 0.6095689775435813, 0.63918724136604843, 0.67136281211045723, 0.68926396057374828, 0.71009438787371548, 0.71790579811501398, 0.73334263263123634, 0.73975914818708344]",0.25,15,"[1.7686686722167051, 1.7350110765524909, 1.627177671640772, 1.4751055014927739, 1.3440946920671772, 1.2365269022583878, 1.1095386886716405, 0.98868620882873703, 0.88122357109708538, 0.79027911506171622, 0.7338219846359727, 0.68535285966413073, 0.65652011579819158, 0.62819863017245736, 0.60561784663869733]",9,"[0.24753580063232286, 0.25702064348149528, 0.38236935093918539, 0.46661707271712849, 0.49079412311697973, 0.50455644411381806, 0.50790403570764364, 0.50083689789845642, 0.49990701134461596, 0.50362655755997765, 0.50120885251999259, 0.50399851218151381, 0.50251069369536916, 0.5030686256276734, 0.49879114748000741]","[1.7611935777648222, 1.6666106079421523, 1.5244228546340515, 1.3625245701763429, 1.3198147439947796, 1.2921851950771905, 1.3127706945441304, 1.3507280324457391, 1.4075290424486331, 1.5426998218240537, 1.7064729168753388, 1.7252167383711512, 1.8178018274328533, 1.8929077010849096, 1.9188790880483124]"
9,../data/X_train_scaled_jaffe_ck_dlib.npy,../data/Y_train_scaled_jaffe_ck_dlib.npy,"[0.30035358006521551, 0.4299785327559123, 0.51831039283925617, 0.58586942802581665, 0.67521151675616786, 0.7552089911772305, 0.81702235150267977, 0.85484278325496232, 0.87883571170017349, 0.89424169736463077, 0.90358631152338353, 0.91867660059593503, 0.9225280971625851, 0.92151786853815809, 0.93042050770006779]",0.25,15,"[1.7037869931652263, 1.4586182153952032, 1.2507300185260033, 1.0665544178889608, 0.84651546116835064, 0.63206397132268988, 0.4737243769611128, 0.3710865506862116, 0.3114750891931431, 0.27556452333874465, 0.2437009937926696, 0.21408562227276362, 0.19685381316547065, 0.19745919587659119, 0.1779432959910113]",10,"[0.37626262632283297, 0.45782828282828281, 0.49671717183758513, 0.53535353559436216, 0.54040404040404044, 0.54318181842264501, 0.5444444444444444, 0.53636363660446318, 0.54469696993779659, 0.54949494973577639, 0.54545454545454541, 0.54444444468527131, 0.5378787879992013, 0.54419191943274603, 0.54974747474747476]","[1.6018626444267503, 1.3549463007185194, 1.2552561906853108, 1.2105489263630878, 1.3083778362081508, 1.4713064150376753, 1.5559062553174567, 1.7567805295038705, 1.9473613117680406, 2.1698449173358956, 2.0489735266174933, 2.292542895885429, 2.7362559766480419, 2.8494837881338717, 2.5638324901311083]"
